rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,subfamily
wfo-0001360802,2597144,Fabaceae,Storckiella,pancheri,acuta,Storckiella pancheri subsp. acuta,"I.C.Nielsen, Labat & Munzinger",Subspecies,Accepted,2597144,2597121,,"Adansonia, sér. 3, 27: 225 (2005)",,N. New Caledonia,ipni:77071315-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77071315-1,wfo-0000502378,,52490,,,,,Dialioideae
wfo-0000169426,2368524,Fabaceae,Martiodendron,elatum,,Martiodendron elatum,(Ducke) Gleason,Species,Accepted,2368524,2368514,2368606,Phytologia 1: 141 (1935),,Venezuela (Amazonas) to N. Bolivia,ipni:153725-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:153725-2,wfo-4000023240,,53180,,,,,Dialioideae
wfo-0001448840,3239515,Fabaceae,Storckiella,pancheri,pancheri,Storckiella pancheri subsp. pancheri,,Subspecies,Accepted,3239515,2597121,,Unknown,,C. & S. New Caledonia,ipni:77213886-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77213886-1,wfo-0000502378,,53390,,,,,Dialioideae
wfo-0001033870,2644501,Fabaceae,Apuleia,leiocarpa,molaris,Apuleia leiocarpa var. molaris,(Spruce ex Benth.) Köppen,Variety,Synonym,2644500,,2644502,unknown publication,,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2644501-4,,wfo-0000186778,53412,,,,,Dialioideae
wfo-0001373106,2415378,Fabaceae,Petalostylis,labicheoides,cassioides,Petalostylis labicheoides var. cassioides,(F.Muell.) Benth.,Variety,Synonym,2933441,,2415660,Fl. Austral. 2: 292 (1864),,,ipni:142660-3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:142660-3,,wfo-1200001735,53421,,,,,Dialioideae
wfo-0000179480,3031268,Fabaceae,Martiodendron,elatum,elatum,Martiodendron elatum var. elatum,,Variety,Accepted,3031268,2368524,,Unknown,,Venezuela (Amazonas) to N. Brazil,ipni:77190481-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190481-1,wfo-0000169426,,53548,,,,,Dialioideae
wfo-4000034672,2591838,Fabaceae,Sciaplea,,,Sciaplea,Rauschert,Genus,Synonym,2763452,,,Taxon 31: 562 (1982),,,ipni:893574-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:893574-1,,wfo-4000011286,53799,,,,,Dialioideae
wfo-0000174236,2539568,Fabaceae,Poeppigia,procera,,Poeppigia procera,(Poepp. ex Spreng.) C.Presl,Species,Accepted,2539568,2535922,2690049,Symb. Bot. (Pragae) 1: 16 (1831),,"Mexico to S. Trop. America, Cuba",ipni:515473-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:515473-1,wfo-4000030549,,54190,,,,,Dialioideae
wfo-0000172264,2368512,Fabaceae,Martia,parvifolia,,Martia parvifolia,Benth.,Species,Synonym,2368519,,,J. Bot. (Hooker) 2: 146 (1840),,,ipni:505973-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505973-1,,wfo-0000169428,54274,,,,,Dialioideae
wfo-4000012340,2774087,Fabaceae,Doga,,,Doga,(Baill.) Baill. ex Nakai,Genus,Synonym,2478158,,,Ord. Fam. Trib. Gen. Sect. ... nov. ed.: 254 (1943),,,ipni:22292-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:22292-1,,wfo-4000036790,54996,,,,,Dialioideae
wfo-0000364988,2350877,Fabaceae,Labichea,diversifolia,,Labichea diversifolia,Meisn.,Species,Synonym,3012949,,,"J.G.C.Lehmann, Pl. Preiss. 1: 23 (1844)",,,ipni:501389-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501389-1,,wfo-0000187749,55533,,,,,Dialioideae
wfo-0000469600,2538863,Fabaceae,Petalostylis,spinescens,,Petalostylis spinescens,E.Pritz.,Species,Synonym,2933441,,,Repert. Spec. Nov. Regni Veg. 15: 357 (1918),,,ipni:513173-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513173-1,,wfo-1200001735,55540,,,,,Dialioideae
wfo-0001393821,2415672,Fabaceae,Petalostylis,labicheoides,microphylla,Petalostylis labicheoides var. microphylla,Ewart & Morrison,Variety,Synonym,2933441,,,"Proc. Roy. Soc. Victoria, n.s., 26: 130 (1913)",,,ipni:142755-3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:142755-3,,wfo-1200001735,56570,,,,,Dialioideae
wfo-0001060996,2415503,Fabaceae,Poeppigia,procera,conferta,Poeppigia procera var. conferta,Benth.,Variety,Synonym,2535920,,,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 15(2): 54 (1870)",,,ipni:204712-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:204712-2,,wfo-0000468398,56877,,,,,Dialioideae
wfo-0000188548,2538865,Fabaceae,Petalostylis,labicheoides,,Petalostylis labicheoides,R.Br.,Species,Accepted,2538865,2538854,,"C.Sturt, Narr. Exped. C. Australia 2(App.): 80 (1849)",,Australia,ipni:513171-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513171-1,wfo-4000028915,,56970,,,,,Dialioideae
wfo-0000188195,2350834,Fabaceae,Labichea,obtrullata,,Labichea obtrullata,J.H.Ross,Species,Accepted,2350834,2350870,,Muelleria 6: 40 (1985),,Western Australia (Yalgoo),ipni:906467-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:906467-1,wfo-4000020324,,57178,,,,,Dialioideae
wfo-0000469610,2415660,Fabaceae,Petalogyne,cassioides,,Petalogyne cassioides,F.Muell.,Species,Synonym,2933441,,,Hooker's J. Bot. Kew Gard. Misc. 8: 324 (1856),,,ipni:513100-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513100-1,,wfo-1200001735,57398,,,,,Dialioideae
wfo-0001388060,2357046,Fabaceae,Labichea,diversifolia,longifolia,Labichea diversifolia var. longifolia,Meisn.,Variety,Synonym,3012949,,,"J.G.C.Lehmann, Pl. Preiss. 1: 23 (1844)",,,ipni:90031-3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:90031-3,,wfo-0000187749,57488,,,,,Dialioideae
wfo-0000193200,2336287,Fabaceae,Koompassia,excelsa,,Koompassia excelsa,(Becc.) Taub.,Species,Accepted,2336287,2336292,2609432,"H.G.A.Engler & K.A.E.Prantl, Nat. Pflanzenfam. 3(3): 156 (1892)",,Thailand to W. & C. Malesia,ipni:501262-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501262-1,wfo-4000020165,,57547,,,,,Dialioideae
wfo-1200001735,2933441,Fabaceae,Petalostylis,cassioides,,Petalostylis cassioides,(F.Muell.) Symon,Species,Accepted,2933441,2538854,2415660,"J.P.Jessop (ed.), Fl. Centr. Australia: 106 (1981)",,Australia,ipni:77209863-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77209863-1,wfo-4000028915,,58266,,,,,Dialioideae
