rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,Subgenus,subfamily
wfo-0000469485,2538492,Fabaceae,Pauletia,ellenbeckii,,Pauletia ellenbeckii,(Harms) A.Schmitz,Species,Synonym,2671546.0,,2671546.0,Bull. Jard. Bot. Natl. Belg. 43: 394 (1973),,,ipni:512803-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512803-1,,wfo-0000212931,32303,,,,,,Cercidoideae
wfo-0000176298,2671652,Fabaceae,Bauhinia,guaranitica,,Bauhinia guaranitica,Lindm.,Species,Synonym,2672173.0,,,Bih. Kongl. Svenska Vetensk.-Akad. Handl. 24(3; 7): 30 (1898),,,ipni:30065-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30065-2,,wfo-0000173949,32310,,,,,,Cercidoideae
wfo-0000179409,3242746,Fabaceae,Bauhinia,beguinotii,beguinotii,Bauhinia beguinotii var. beguinotii,,Variety,Accepted,3242746.0,2671356.0,,Unknown,,Costa Rica to W. Colombia,ipni:77223106-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77223106-1,wfo-0000163905,,32474,,,,,,Cercidoideae
wfo-0001339827,2997364,Fabaceae,Phanera,tianlinensis,,Phanera tianlinensis,(T.C.Chen & D.X.Zhang) Mackinder & R.Clark,Species,Synonym,3312963.0,,2672145.0,Phytotaxa 166: 63 (2014),,,ipni:77140572-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77140572-1,,wfo-1000064389,32580,,,,,,Cercidoideae
wfo-0000181992,2671884,Fabaceae,Bauhinia,notophila,,Bauhinia notophila,Griseb.,Species,Synonym,2671866.0,,,Abh. Königl. Ges. Wiss. Göttingen 24: 116 (1879),,,ipni:273147-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:273147-2,,wfo-0000179900,32639,,,,,,Cercidoideae
wfo-1200099628,3313140,Fabaceae,Cercis,chinensis,pubescens,Cercis chinensis var. pubescens,(C.F.Wei) G.Y.Li & Z.H.Chen,Variety,Synonym,2711415.0,,2711417.0,"J. Zhejiang Univ., Sci. Ed. 48: 94 (2021)",,,ipni:77343874-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77343874-1,,wfo-0000186494,32677,,,,,,Cercidoideae
wfo-1000002227,2702543,Fabaceae,Casparia,uniflora,,Casparia uniflora,(S.Watson) Britton & Rose,Species,Synonym,2606421.0,,2672167.0,"N.L.Britton & al. (eds.), N. Amer. Fl. 23(2): 209 (1930)",,,ipni:48166-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:48166-2,,wfo-0001380753,32759,,,,,,Cercidoideae
wfo-0000213289,2538621,Fabaceae,Pauletia,tomentosa,,Pauletia tomentosa,(L.) A.Schmitz,Species,Synonym,2672149.0,,2672149.0,Bull. Jard. Bot. Natl. Belg. 43: 393 (1973),,,ipni:512848-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512848-1,,wfo-0000213258,32829,,,,,,Cercidoideae
wfo-0000561574,2671575,Fabaceae,Bauhinia,farec,,Bauhinia farec,Desv.,Species,Accepted,2671575.0,2671275.0,,J. Bot. Agric. 1: 74 (1813),,Ethiopia,ipni:481303-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481303-1,wfo-4000004242,,33126,,,,,,Cercidoideae
wfo-0001061179,2880486,Fabaceae,Bauhinia,forficata,candicans,Bauhinia forficata var. candicans,(Benth.) Hassl. ex Latzina,Variety,Synonym,2671600.0,,2671419.0,Lilloa 1: 154 (1937),,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2880486-4,,wfo-0000186784,33171,,,,,,Cercidoideae
wfo-0000163978,2672172,Fabaceae,Bauhinia,urocalyx,,Bauhinia urocalyx,Harms,Species,Synonym,2671648.0,,,Notizbl. Königl. Bot. Gart. Berlin 6: 308 (1915),,,ipni:30200-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30200-2,,wfo-0001054397,33201,,,,,,Cercidoideae
wfo-0000596655,2711428,Fabaceae,Cercis,japonica,,Cercis japonica,Siebold ex Planch.,Species,Synonym,2711415.0,,,Fl. Serres Jard. Paris 8: 269 (1853),,,ipni:485680-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:485680-1,,wfo-0000186494,33285,,,,,,Cercidoideae
