rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,Subgenus,subfamily
wfo-0001057768,2352174,Fabaceae,Lasiobema,esquirolii,,Lasiobema esquirolii,(Gagnep.) de Wit,Species,Synonym,3245806.0,,2671562.0,Reinwardtia 3: 423 (1956),,,ipni:501529-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501529-1,,wfo-0001444062,57331,,,,,,Cercidoideae
wfo-0000199465,2537863,Fabaceae,Phanera,bicornuta,,Phanera bicornuta,Miq.,Species,Synonym,3239678.0,,,"Fl. Ned. Ind., Eerste Bijv.: 286 (1861)",,,ipni:513501-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513501-1,,wfo-0001448175,57368,,,,,,Cercidoideae
wfo-0000197055,2671735,Fabaceae,Bauhinia,khasiana,,Bauhinia khasiana,Baker,Species,Synonym,2537822.0,,,"J.D.Hooker, Fl. Brit. India 2: 281 (1878)",,,ipni:481419-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481419-1,,wfo-0000203484,57376,,,,,,Cercidoideae
wfo-0000561649,2672068,Fabaceae,Bauhinia,scortechinii,,Bauhinia scortechinii,Prain,Species,Synonym,3239669.0,,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 66: 188 (1897)",,,ipni:481665-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481665-1,,wfo-0001448163,57396,,,,,,Cercidoideae
wfo-1000003009,3275905,Fabaceae,Phanera,cercidifolia,,Phanera cercidifolia,(D.X.Zhang) K.W.Jiang,Species,Accepted,3275905.0,2537884.0,2671438.0,J. Jap. Bot. 95: 212 (2020),,China (Guangxi),ipni:77215370-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215370-1,wfo-4000029108,,57410,,,,,,Cercidoideae
wfo-0001448164,2937666,Fabaceae,Phanera,bidentata,cornifolia,Phanera bidentata var. cornifolia,(Baker) de Wit,Variety,Accepted,2937666.0,2537840.0,2671482.0,Reinwardtia 3: 499 (1956),,"Nicobar Is., Pen. Malaysia",ipni:77253124-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77253124-1,wfo-0000205687,,57463,,,,,,Cercidoideae
wfo-0001056177,2671338,Fabaceae,Bauhinia,aurea,,Bauhinia aurea,H.Lév.,Species,Synonym,2998057.0,,,Bull. Soc. Bot. France 54: 368 (1907),,,ipni:481119-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481119-1,,wfo-0001339815,57538,,,,,,Cercidoideae
wfo-0000561533,2671335,Fabaceae,Bauhinia,audax,,Bauhinia audax,(de Wit) G.Cusset,Species,Synonym,2537866.0,,2537866.0,"Adansonia, n.s., 6: 278 (1966)",,,ipni:481116-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481116-1,,wfo-0000205678,57555,,,,,,Cercidoideae
wfo-0000205740,2672127,Fabaceae,Bauhinia,suffruticosa,,Bauhinia suffruticosa,Ridl.,Species,Synonym,2997834.0,,,"Trans. Linn. Soc. London, Bot. 3: 295 (1893)",,,ipni:481709-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481709-1,,wfo-0001384474,57557,,,,,,Cercidoideae
wfo-0000199485,2671636,Fabaceae,Bauhinia,gnomon,,Bauhinia gnomon,Gagnep.,Species,Synonym,2537813.0,,,Notul. Syst. (Paris) 2: 277 (1912),,,ipni:481340-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481340-1,,wfo-0000197033,57628,,,,,,Cercidoideae
wfo-0000205807,2537950,Fabaceae,Phanera,lingua,,Phanera lingua,(DC.) Miq.,Species,Accepted,2537950.0,2537884.0,2671780.0,Fl. Ned. Ind. 1(1): 67 (1855),,C. Malesia to New Guinea,ipni:513547-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513547-1,wfo-4000029108,,57633,,,,,,Cercidoideae
wfo-0001342275,3003251,Fabaceae,Schnella,scala-simiae,,Schnella scala-simiae,(Sandwith) Trethowan & R.Clark,Species,Accepted,3003251.0,2591756.0,2672054.0,Phytotaxa 204: 248 (2015),,Venezuela to Guyana,ipni:77146842-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77146842-1,wfo-4000034516,,57647,,,,,,Cercidoideae
wfo-0000199496,2671577,Fabaceae,Bauhinia,ferruginea,,Bauhinia ferruginea,Roxb.,Species,Synonym,2537838.0,,,"Fl. Ind., ed. 1832. 2: 331 (1832)",,,ipni:60457775-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60457775-2,,wfo-0000199497,57678,,,,,,Cercidoideae
wfo-0001384653,2998025,Fabaceae,Phanera,glabrifolia,maritima,Phanera glabrifolia var. maritima,(K.Larsen & S.S.Larsen) Bandyop.,Variety,Accepted,2998025.0,2537834.0,2671621.0,Edinburgh J. Bot. 70: 363 (2013),,"Myanmar to Pen. Malaysia, Borneo",ipni:77129440-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77129440-1,wfo-0000199500,,57682,,,,,,Cercidoideae
wfo-0001039828,2905718,Fabaceae,Phanera,platycalyx,,Phanera platycalyx,(Benth.) Vaz,Species,Synonym,2905127.0,,2671949.0,Rodriguésia 61: S37 (2010),,,ipni:60456522-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60456522-2,,wfo-0001039690,57771,,,,,,Cercidoideae
wfo-0001427376,3234171,Fabaceae,Schnella,angulosa,angulosa,Schnella angulosa var. angulosa,,Variety,Accepted,3234171.0,2905137.0,,Unknown,,E. & S. Brazil,ipni:77208396-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77208396-1,wfo-0001039679,,57893,,,,,,Cercidoideae
wfo-0000205845,2672216,Fabaceae,Bauhinia,xanthoneura,,Bauhinia xanthoneura,Korth. ex Miq.,Species,Synonym,2537969.0,,,Fl. Ned. Ind. 1(1): 63 (1855),,,ipni:481783-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481783-1,,wfo-0000205846,57971,,,,,,Cercidoideae
wfo-0001448169,3239673,Fabaceae,Phanera,excelsa,excelsa,Phanera excelsa var. excelsa,,Variety,Accepted,3239673.0,2537839.0,,Unknown,,Borneo,ipni:77213903-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77213903-1,wfo-0000205721,,57986,,,,,,Cercidoideae
wfo-0001334963,2997890,Fabaceae,Phanera,rahmatii,,Phanera rahmatii,"(Merr.) Bandyop., Ghoshal & M.K.Pathak",Species,Synonym,2537966.0,,2672005.0,Bangladesh J. Pl. Taxon. 19: 59 (2012),,,ipni:77125208-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77125208-1,,wfo-0000469318,58022,,,,,,Cercidoideae
wfo-0001389248,2671738,Fabaceae,Bauhinia,khasiana,tomentella,Bauhinia khasiana var. tomentella,T.C.Chen,Variety,Synonym,2997554.0,,,Guihaia 8: 46 (1988),,,ipni:950312-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:950312-1,,wfo-0001384477,58070,,,,,,Cercidoideae
wfo-0000205805,2671439,Fabaceae,Bauhinia,chalcobapta,,Bauhinia chalcobapta,Quisumb. & Merr.,Species,Synonym,2997910.0,,,Philipp. J. Sci. 37: 151 (1928),,,ipni:481195-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481195-1,,wfo-0001384501,58086,,,,,,Cercidoideae
wfo-0000205771,2671671,Fabaceae,Bauhinia,havilandii,,Bauhinia havilandii,Merr.,Species,Synonym,3239677.0,,,"Philipp. J. Sci., C 11: 79 (1916)",,,ipni:481364-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481364-1,,wfo-0001448173,58132,,,,,,Cercidoideae
wfo-0001039827,2905713,Fabaceae,Phanera,maximiliani,,Phanera maximiliani,(Benth.) Vaz,Species,Synonym,2905604.0,,2671835.0,Rodriguésia 61: S37 (2010),,,ipni:60456521-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60456521-2,,wfo-0001039673,58140,,,,,,Cercidoideae
wfo-0000205802,2671780,Fabaceae,Bauhinia,lingua,,Bauhinia lingua,DC.,Species,Synonym,2537950.0,,,Prodr. 2: 516 (1825),,,ipni:481450-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481450-1,,wfo-0000205807,58179,,,,,,Cercidoideae
wfo-0000199495,2352171,Fabaceae,Lasiobema,curtisii,,Lasiobema curtisii,(Prain) de Wit,Species,Synonym,3003041.0,,2671503.0,Reinwardtia 3: 424 (1956),,,ipni:501526-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501526-1,,wfo-0001343680,58203,,,,,,Cercidoideae
wfo-0000205759,2352184,Fabaceae,Lasiobema,flavum,,Lasiobema flavum,de Wit,Species,Synonym,3003040.0,,,Reinwardtia 3: 425 (1956),,,ipni:501530-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501530-1,,wfo-0001444063,58249,,,,,,Cercidoideae
wfo-0001384474,2997834,Fabaceae,Phanera,ferruginea,griffithiana,Phanera ferruginea var. griffithiana,"(Benth.) Bandyop., Ghoshal & M.K.Pathak",Variety,Accepted,2997834.0,2537838.0,2537828.0,Bangladesh J. Pl. Taxon. 19: 57 (2012),,Malaya to NE. Sumatera,ipni:77124812-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77124812-1,wfo-0000199497,,58250,,,,,,Cercidoideae
wfo-0000163932,2671656,Fabaceae,Bauhinia,guianensis,splendens,Bauhinia guianensis var. splendens,(Kunth) Amshoff,Variety,Synonym,2591676.0,,2672097.0,Meded. Bot. Mus. Herb. Rijks Univ. Utrecht 52: 20 (1939),,,ipni:30068-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30068-2,,wfo-0000166225,58296,,,,,,Cercidoideae
wfo-0000561663,2672134,Fabaceae,Bauhinia,tamarindacea,,Bauhinia tamarindacea,Delile,Species,Synonym,2539801.0,,,"F.Cailliaud, Voy. Méroé: 34 (1826)",,,ipni:481716-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481716-1,,wfo-0000170413,58405,,,,,,Cercidoideae
wfo-0001339825,2997405,Fabaceae,Phanera,siamensis,,Phanera siamensis,(K.Larsen & S.S.Larsen) Mackinder & R.Clark,Species,Accepted,2997405.0,2537884.0,2672084.0,Phytotaxa 166: 63 (2014),,N. Thailand,ipni:77140570-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77140570-1,wfo-4000029108,,58473,,,,,,Cercidoideae
wfo-0000199468,2537806,Fabaceae,Phanera,blancoi,,Phanera blancoi,Benth.,Species,Synonym,2347417.0,,,"F.A.W.Miquel, Pl. Jungh.: 264 (1852)",,,ipni:513503-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513503-1,,wfo-0000212880,58586,,,,,,Cercidoideae
wfo-0001056090,2671444,Fabaceae,Bauhinia,championii,apertilobata,Bauhinia championii var. apertilobata,(Merr. & F.P.Metcalf) M.Hiroe,Variety,Synonym,3275904.0,,2671324.0,Pl. Basho's & Buson's Hokku Lit. 8: 346 (1973),,,ipni:884808-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:884808-1,,wfo-1000003008,58601,,,,,,Cercidoideae
wfo-0001384470,2997724,Fabaceae,Phanera,bidentata,breviflora,Phanera bidentata var. breviflora,"(Ridl.) Bandyop., Ghoshal & M.K.Pathak",Variety,Accepted,2997724.0,2537840.0,2671397.0,Bangladesh J. Pl. Taxon. 19: 55 (2012),,Pen. Malaysia,ipni:77124799-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77124799-1,wfo-0000205687,,58815,,,,,,Cercidoideae
wfo-0001390728,2671748,Fabaceae,Bauhinia,kockiana,brevipedicellata,Bauhinia kockiana var. brevipedicellata,K.Larsen & S.S.Larsen,Variety,Synonym,2997876.0,,,Nordic J. Bot. 13: 664 (1993),,,ipni:997058-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:997058-1,,wfo-0001384498,58841,,,,,,Cercidoideae
wfo-0000363065,2346453,Fabaceae,Locellaria,bauhinioides,,Locellaria bauhinioides,Welw.,Species,Synonym,2539802.0,,,"Ann. Cons. Ultramar. (Portugal), Parte Nâo Off. 24: 588 (1858 publ. 1859)",,,ipni:502866-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:502866-1,,wfo-0000170391,58842,,,,,,Cercidoideae
wfo-0001039820,2905566,Fabaceae,Phanera,erythrantha,,Phanera erythrantha,(Ducke) Vaz,Species,Synonym,2905144.0,,2671557.0,Rodriguésia 61: S36 (2010),,,ipni:60456515-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60456515-2,,wfo-0001039683,58884,,,,,,Cercidoideae
wfo-0000197058,2671963,Fabaceae,Bauhinia,polystachya,,Bauhinia polystachya,Gagnep.,Species,Synonym,3239679.0,,,Notul. Syst. (Paris) 2: 178 (1912),,,ipni:481583-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481583-1,,wfo-0001448176,59005,,,,,,Cercidoideae
wfo-0000205874,2672213,Fabaceae,Bauhinia,wrayi,moultonii,Bauhinia wrayi var. moultonii,(Merr.) K.Larsen & S.S.Larsen,Variety,Synonym,2997690.0,,2671876.0,Nordic J. Bot. 13: 662 (1993),,,ipni:997046-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:997046-1,,wfo-0001384515,59175,,,,,,Cercidoideae
wfo-0000205836,2537964,Fabaceae,Phanera,posthumi,,Phanera posthumi,de Wit,Species,Accepted,2537964.0,2537884.0,,Reinwardtia 3: 515 (1956),,Sumatera,ipni:513568-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513568-1,wfo-4000029108,,59201,,,,,,Cercidoideae
wfo-0001039829,2905709,Fabaceae,Phanera,poiteauana,,Phanera poiteauana,(Vogel) Vaz,Species,Synonym,2904295.0,,2671957.0,Rodriguésia 61: S37 (2010),,,ipni:60456523-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60456523-2,,wfo-0001039674,59227,,,,,,Cercidoideae
wfo-0000205734,2671702,Fabaceae,Bauhinia,hullettii,,Bauhinia hullettii,Prain,Species,Synonym,3239674.0,,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 66: 183 (1897)",,,ipni:481392-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481392-1,,wfo-0001448170,59255,,,,,,Cercidoideae
wfo-0001448163,3239669,Fabaceae,Phanera,bidentata,bidentata,Phanera bidentata var. bidentata,,Variety,Accepted,3239669.0,2537840.0,,Unknown,,Pen. Malaysia to Sumatera,ipni:77213865-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77213865-1,wfo-0000205687,,59272,,,,,,Cercidoideae
wfo-0000469309,2537931,Fabaceae,Phanera,piperifolia,,Phanera piperifolia,(Roxb.) Benth.,Species,Synonym,2937678.0,,2671947.0,"F.A.W.Miquel, Pl. Jungh.: 262 (1852)",,,ipni:513566-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513566-1,,wfo-0000199590,59376,,,,,,Cercidoideae
wfo-0000199479,2671413,Fabaceae,Bauhinia,calycina,,Bauhinia calycina,Pierre ex Gagnep.,Species,Synonym,3317835.0,,,Notul. Syst. (Paris) 2: 169 (1912),,,ipni:481172-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481172-1,,wfo-1000064424,59407,,,,,,Cercidoideae
wfo-0000205752,2937670,Fabaceae,Phanera,finlaysoniana,leptopus,Phanera finlaysoniana var. leptopus,(G.Perkins) de Wit,Variety,Accepted,2937670.0,2537837.0,2671776.0,Reinwardtia 3: 509 (1956),,Malesia,ipni:77252746-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77252746-1,wfo-0000205747,,59472,,,,,,Cercidoideae
wfo-0000561635,2671995,Fabaceae,Bauhinia,pyrrhocarpa,,Bauhinia pyrrhocarpa,Hochst.,Species,Synonym,2539801.0,,,Flora 27: 99 (1844),,,ipni:481608-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481608-1,,wfo-0000170413,59483,,,,,,Cercidoideae
wfo-0001448762,3234175,Fabaceae,Schnella,porphyrotricha,porphyrotricha,Schnella porphyrotricha var. porphyrotricha,,Variety,Accepted,3234175.0,2905136.0,,Unknown,,N. Brazil to Peru,ipni:77208355-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77208355-1,wfo-0001039691,,59487,,,,,,Cercidoideae
wfo-0000205692,2671482,Fabaceae,Bauhinia,cornifolia,,Bauhinia cornifolia,Baker,Species,Synonym,2937666.0,,,"J.D.Hooker, Fl. Brit. India 2: 278 (1878)",,,ipni:481229-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481229-1,,wfo-0001448164,59503,,,,,,Cercidoideae
wfo-0001448178,3239681,Fabaceae,Phanera,lingua,lingua,Phanera lingua var. lingua,,Variety,Accepted,3239681.0,2537950.0,,Unknown,,C. Malesia to New Guinea,ipni:77213862-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77213862-1,wfo-0000205807,,59549,,,,,,Cercidoideae
wfo-0000205860,2672116,Fabaceae,Bauhinia,strychnoidea,,Bauhinia strychnoidea,Prain,Species,Synonym,3003042.0,,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 66: 195 (1897)",,,ipni:481700-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481700-1,,wfo-0001343682,59565,,,,,,Cercidoideae
wfo-0001039840,2905683,Fabaceae,Phanera,uleana,,Phanera uleana,(Harms) Vaz,Species,Synonym,2905128.0,,2672159.0,Rodriguésia 61: S39 (2010),,,ipni:60456534-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60456534-2,,wfo-0001039699,59619,,,,,,Cercidoideae
wfo-0000205801,2537883,Fabaceae,Phanera,lambiana,,Phanera lambiana,(Baker f.) de Wit,Species,Accepted,2537883.0,2537884.0,2671762.0,Reinwardtia 3: 525 (1956),,"Borneo (Brunei, Sarawak)",ipni:513546-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513546-1,wfo-4000029108,,59622,,,,,,Cercidoideae
wfo-0000205684,2671589,Fabaceae,Bauhinia,fleuryi,,Bauhinia fleuryi,Gagnep.,Species,Synonym,3239668.0,,,"Bull. Mus. Natl. Hist. Nat., sér. 2, 24: 312 (1952)",,,ipni:481311-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481311-1,,wfo-0001448162,59645,,,,,,Cercidoideae
wfo-4000034516,2591756,Fabaceae,Schnella,,,Schnella,Raddi,Genus,Accepted,2591756.0,,,"Mem. Mat. Fis. Soc. Ital. Sci. Modena, Pt. Mem. Fis. 18: 411 (1820)",,Mexico to Trop. America,ipni:30003119-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30003119-2,wfo-4100002414,,59727,,,,,Cercidoideae,Cercidoideae
wfo-0000199473,2671673,Fabaceae,Bauhinia,helferi,,Bauhinia helferi,Craib,Species,Synonym,3239670.0,,,Bull. Misc. Inform. Kew 1924: 92 (1924),,,ipni:481366-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481366-1,,wfo-0001448166,59729,,,,,,Cercidoideae
wfo-4000039661,2441307,Fabaceae,Tylosema,,,Tylosema,(Schweinf.) Torre & Hillc.,Genus,Accepted,2441307.0,,,"Bol. Soc. Brot., sér. 2, 29: 38 (1955)",,Ethiopia to S. Africa,ipni:23743-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:23743-1,wfo-4100002414,,59785,,,,,Cercidoideae,Cercidoideae
wfo-0001060199,2676022,Fabaceae,Binaria,angulosa,,Binaria angulosa,(Vogel) A.Schmitz,Species,Synonym,2905137.0,,2671317.0,Bull. Jard. Bot. Natl. Belg. 43: 405 (1973),,,ipni:481891-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481891-1,,wfo-0001039679,59799,,,,,,Cercidoideae
wfo-0000205783,2537823,Fabaceae,Phanera,junghuhniana,,Phanera junghuhniana,Benth.,Species,Synonym,3239678.0,,,"F.A.W.Miquel, Pl. Jungh.: 263 (1852)",,,ipni:513541-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513541-1,,wfo-0001448175,59823,,,,,,Cercidoideae
wfo-0001039695,2905132,Fabaceae,Schnella,siqueirae,,Schnella siqueirae,(Ducke) Wunderlin,Species,Accepted,2905132.0,2591756.0,2672086.0,Phytoneuron 2010-49: 4 (2010),,N. South America to N. Brazil,ipni:77111935-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77111935-1,wfo-4000034516,,59874,,,,,,Cercidoideae
wfo-1000002195,2672086,Fabaceae,Bauhinia,siqueirae,,Bauhinia siqueirae,Ducke,Species,Synonym,2905132.0,,,Arch. Jard. Bot. Rio de Janeiro 3: 108 (1922),,,ipni:30173-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30173-2,,wfo-0001039695,59878,,,,,,Cercidoideae
wfo-0000365553,2352170,Fabaceae,Lasiobema,concretum,,Lasiobema concretum,(Craib) A.Schmitz,Species,Synonym,3245811.0,,2671472.0,Bull. Soc. Roy. Bot. Belgique 110: 13 (1977),,,ipni:501525-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501525-1,,wfo-0001444060,59918,,,,,,Cercidoideae
wfo-0000197067,2671710,Fabaceae,Bauhinia,hypochrysa,,Bauhinia hypochrysa,T.C.Chen,Species,Synonym,2997470.0,,,Guihaia 8: 47 (1988),,,ipni:934646-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:934646-1,,wfo-0001339821,59941,,,,,,Cercidoideae
wfo-0001384516,2997694,Fabaceae,Phanera,wrayi,blumeana,Phanera wrayi var. blumeana,"(K.Larsen & S.S.Larsen) Bandyop., Ghoshal & M.K.Pathak",Variety,Accepted,2997694.0,2537900.0,2672209.0,Bangladesh J. Pl. Taxon. 19: 60 (2012),,Sumatera,ipni:77125336-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77125336-1,wfo-0000205883,,60120,,,,,,Cercidoideae
wfo-0001445144,3014683,Fabaceae,Cheniella,quinnanensis,gandhiana,Cheniella quinnanensis subsp. gandhiana,(Gogoi & Bandyop.) R.Clark & Mackinder,Subspecies,Synonym,3317597.0,,3002955.0,Eur. J. Taxon. 360: 16 (2017),,,ipni:77165907-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165907-1,,wfo-1200109407,60156,,,,,,Cercidoideae
wfo-0000199482,2671537,Fabaceae,Bauhinia,dolichobotrys,,Bauhinia dolichobotrys,Merr.,Species,Synonym,3245812.0,,,J. Arnold Arbor. 19: 35 (1938),,,ipni:481270-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481270-1,,wfo-0001444059,60168,,,,,,Cercidoideae
wfo-0000197023,2352158,Fabaceae,Lasiobema,anguinum,,Lasiobema anguinum,Miq.,Species,Synonym,2937678.0,,,Fl. Ned. Ind. 1(1): 71 (1855),,,ipni:501521-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501521-1,,wfo-0000199590,60219,,,,,,Cercidoideae
wfo-0000197074,2671893,Fabaceae,Bauhinia,ornata,,Bauhinia ornata,Kurz,Species,Synonym,2537938.0,,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 42: 72 (1873)",,,ipni:481533-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481533-1,,wfo-0000203493,60246,,,,,,Cercidoideae
wfo-0001384506,2997893,Fabaceae,Phanera,ornata,kerrii,Phanera ornata var. kerrii,"(Gagnep.) Bandyop., Ghoshal & M.K.Pathak",Variety,Accepted,2997893.0,2537938.0,2671733.0,Bangladesh J. Pl. Taxon. 19: 59 (2012),,Arunachal Pradesh to Hainan and Indo-China,ipni:77125205-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77125205-1,wfo-0000203493,,60293,,,,,,Cercidoideae
wfo-0000203472,2537956,Fabaceae,Phanera,sulphurea,,Phanera sulphurea,(C.E.C.Fisch.) Thoth.,Species,Accepted,2537956.0,2537884.0,2672128.0,Bull. Bot. Soc. Bengal 19: 133 (1967),,S. Myanmar,ipni:513586-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513586-1,wfo-4000029108,,60315,,,,,,Cercidoideae
wfo-0001334966,2997691,Fabaceae,Phanera,wuzhengyii,,Phanera wuzhengyii,"(S.S.Larsen) Bandyop., Ghoshal & M.K.Pathak",Species,Accepted,2997691.0,2537884.0,2672215.0,Bangladesh J. Pl. Taxon. 19: 60 (2012),,China (Yunnan),ipni:77125219-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77125219-1,wfo-4000029108,,60352,,,,,,Cercidoideae
wfo-0000197045,2671458,Fabaceae,Bauhinia,claviflora,,Bauhinia claviflora,H.Y.Chen,Species,Synonym,2537930.0,,,J. Arnold Arbor. 20: 437 (1939),,,ipni:481208-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481208-1,,wfo-0000199547,60434,,,,,,Cercidoideae
wfo-0001415835,2882534,Fabaceae,Phanera,bidentata,fraseri,Phanera bidentata var. fraseri,de Wit,Variety,Accepted,2882534.0,2537840.0,,Reinwardtia 3: 497 (1956),,Pen. Malaysia (Pahang),ipni:77250606-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77250606-1,wfo-0000205687,,60493,,,,,,Cercidoideae
wfo-0000205838,2537972,Fabaceae,Phanera,praesignis,,Phanera praesignis,(Ridl.) de Wit,Species,Accepted,2537972.0,2537884.0,2671978.0,Reinwardtia 3: 444 (1956),,Pen. Malaysia,ipni:513570-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513570-1,wfo-4000029108,,60647,,,,,,Cercidoideae
wfo-0000205833,2671920,Fabaceae,Bauhinia,pauciflora,,Bauhinia pauciflora,Merr.,Species,Synonym,2537934.0,,,"Philipp. J. Sci., C 10: 13 (1915)",,,ipni:481549-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481549-1,,wfo-0000205834,60691,,,,,,Cercidoideae
wfo-0001448161,3239667,Fabaceae,Phanera,aherniana,aherniana,Phanera aherniana var. aherniana,,Variety,Accepted,3239667.0,2537870.0,,Unknown,,Philippines,ipni:77213885-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77213885-1,wfo-0001057740,,60716,,,,,,Cercidoideae
wfo-1000062301,3317233,Fabaceae,Phanera,involucrans,,Phanera involucrans,(Gagnep.) Tak.Yamam.,Species,Accepted,3317233.0,2537884.0,2671723.0,Phytotaxa 640: 82 (2024),,Vietnam,ipni:77338233-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77338233-1,wfo-4000029108,,60731,,,,,,Cercidoideae
wfo-0000166257,2591675,Fabaceae,Schnella,spicata,,Schnella spicata,(Vogel) A.Schmitz,Species,Synonym,3234174.0,,2672095.0,Bull. Jard. Bot. Natl. Belg. 43: 402 (1973),,,ipni:518024-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:518024-1,,wfo-0001427378,60784,,,,,,Cercidoideae
