rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,subfamily
wfo-4000028510,2538385,Fabaceae,Peltogyne,,,Peltogyne,Vogel,Genus,Accepted,2538385,,,Linnaea 11: 410 (1837),,"SW. Mexico, Costa Rica to S. Trop. America and Trinidad-Tobago",ipni:331837-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331837-2,wfo-4100002415,,85235,,,,,Detarioideae
wfo-0000169383,2366127,Fabaceae,Macrolobium,jenmanii,,Macrolobium jenmanii,(Gleason) Sandwith,Species,Accepted,2366127,2366400,2451892,Lloydia 2: 185 (1939),,Guyana,ipni:148950-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148950-2,wfo-4000022724,,85328,,,,,Detarioideae
wfo-0000171297,2470206,Fabaceae,Zenkerella,citrina,,Zenkerella citrina,Taub.,Species,Accepted,2470206,2470203,,"H.G.A.Engler & K.A.E.Prantl, Nat. Pflanzenfam. 3(3): 386 (1894)",,Nigeria to Gabon,ipni:525926-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:525926-1,wfo-4000041185,,85435,,,,,Detarioideae
wfo-0000170013,2388560,Fabaceae,Oxystigma,buchholzii,,Oxystigma buchholzii,Harms,Species,Synonym,2536371,,,"H.G.A.Engler & K.A.E.Prantl, Nat. Pflanzenfam., Nachtr. 1: 195 (1897)",,,ipni:511227-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:511227-1,,wfo-0001252467,85487,,,,,Detarioideae
wfo-0000170948,2443665,Fabaceae,Tessmannia,claessensii,,Tessmannia claessensii,De Wild.,Species,Synonym,2443669,,,Pl. Bequaert. 3: 220 (1925),,,ipni:521087-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:521087-1,,wfo-0000170937,85603,,,,,Detarioideae
wfo-0000414219,2443836,Fabaceae,Theodora,capitata,,Theodora capitata,(Bolle) Taub.,Species,Synonym,2591708,,2591708,"H.G.A.Engler, Pflanzenw. Ost-Afrikas, C: 198 (1895)",,,ipni:521143-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:521143-1,,wfo-0000170719,85695,,,,,Detarioideae
wfo-0000206217,2592081,Fabaceae,Saraca,elegans,,Saraca elegans,Ridl.,Species,Synonym,2592079,,,Bull. Misc. Inform. Kew 1938: 278 (1938),,,ipni:517893-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:517893-1,,wfo-0000192941,85862,,,,,Detarioideae
wfo-0000171174,2857053,Fabaceae,Hymenaea,latifolia,,Hymenaea latifolia,Hayne,Species,Synonym,2538394,,,Getreue Darstell. Gew. 11: t. 7 (1830),,,ipni:498787-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:498787-1,,wfo-0000168359,85947,,,,,Detarioideae
wfo-4000020820,2351173,Fabaceae,Lebruniodendron,,,Lebruniodendron,J.Léonard,Genus,Accepted,2351173,,,Bull. Jard. Bot. État Bruxelles 21: 421 (1951),,WC. Trop. Africa,ipni:22753-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:22753-1,wfo-4100002415,,86008,,,,,Detarioideae
wfo-0000184982,2471976,Fabaceae,Vouapa,racemigera,,Vouapa racemigera,(Tul.) Kuntze,Species,Synonym,2366320,,2366307,Revis. Gen. Pl. 1: 213 (1891),,,ipni:266475-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:266475-2,,wfo-0000169399,86028,,,,,Detarioideae
wfo-0001052756,2366095,Fabaceae,Macrolobium,evenulosum,,Macrolobium evenulosum,R.S.Cowan,Species,Accepted,2366095,2366400,,Mem. New York Bot. Gard. 10(4): 82 (1961),,E. Colombia to Venezuela (Amazonas),ipni:148930-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148930-2,wfo-4000022724,,86087,,,,,Detarioideae
wfo-0000711746,2834923,Fabaceae,Guillandinodes,capitatum,,Guillandinodes capitatum,(Bolle) Kuntze,Species,Synonym,2591708,,2591708,Revis. Gen. Pl. 1: 191 (1891),,,ipni:497208-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:497208-1,,wfo-0000170719,86157,,,,,Detarioideae
wfo-0000172246,2451873,Fabaceae,Vouapa,suaveolens,,Vouapa suaveolens,(Spruce ex Benth.) Taub.,Species,Synonym,2366472,,2366472,Bot. Centralbl. 47: 394 (1891),,,ipni:266477-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:266477-2,,wfo-0000169411,86164,,,,,Detarioideae
wfo-0000172226,2366042,Fabaceae,Macrolobium,tenue,,Macrolobium tenue,Ducke,Species,Synonym,3031205,,,Bol. Técn. Inst. Agron. N. 2: 13 (1944),,,ipni:148995-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148995-2,,wfo-0000179382,86165,,,,,Detarioideae
wfo-0000169380,2366122,Fabaceae,Macrolobium,guianense,,Macrolobium guianense,(Aubl.) Pulle,Species,Accepted,2366122,2366400,2388380,Enum. Vasc. Pl. Surinam: 211 (1906),,Guianas,ipni:148944-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148944-2,wfo-4000022724,,86436,,,,,Detarioideae
